Ime,Opis recepta,Uporabnik,Datum,ID recepta,Priložnost,Priprava,Sezona,Vrsta jedi,Čas priprave,Sestavine,Postopek
Ravioli,izvrstna priloga k različnim jedem,ZELENE DOLINE,30.5.2017,21350,,kuhanje,,"glavne jedi, tople predjedi, priloge",60 minut,"1. Testo za pripravo raviolov: vse sestavine umešamo v testo. Testo mesimo deset minut, da postane prožno in gladko. Oblikujemo hlebček in ga pokrijemo z vlažnim prtičem. Pustimo počivati vsaj pol ure. Testo razdelimo na tri dele, ga na tanko razvaljamo na pomokani površini in narežemo na kvadrate.2. Nadev za raviole: zeleno olupimo in narežemo na kocke, prav tako jabolko. Zeleno prepražimo ter dodamo jabolko in ohladimo. Umešamo mlečni namaza s smetano ZELENE DOLINE in začinimo.3. S čajno žličko odmerimo nadev, ga položimo na en del kvadrata, z vodo navlažimo robove in jih zapremo z vilicami. Raviole kuhamo v osoljenem kropu, dokler ne priplavajo na površje.",Testo: 75 g ostre moke 25 g ajdove moke 1 jajce 1 rumenjak garam masala sol poper oljčno olje Nadev: 30 g gomolja zelene 30 g jabolk 100 g Mlečnega namaza s smetano ZELENE DOLINE sol poper timijan limonina lupina 

Pica beli panter,pica nekoliko drugače,ZELENE DOLINE,31.5.2017,21351,,pečenje,,glavne jedi,240 minut,"1. Moko presejemo in pripravimo kvasni pripravek. Zanj potrebujemo mlačno vodo, sol, balzamični kis in kvas. Kvasni pripravek in maslo umešamo v moko, da se sestavine dobro premešajo. Pripravljeno testo naj počiva v hladilniku vsaj 4 ure. Tako bo postalo bolj krhko in aromatično.2. Testo raztegnemo, premažemo z Mileramom in obložimo z naribanim sirom Gauda, parmezanom in radičem.3. Nadevano testo damo v pečico, segreto na 200 stopinj. Ko skorja postane rjava, vzamemo testo iz pečice ter dodamo rezine pršuta in narezane sveže fige.",Testo: 800 g moke 20 g masla ZELENE DOLINE 1 žlička soli 5 g kvasa 2 dl mlačne vode 2 čajni žlici balzamičnega kisa Nadev: 40 g Milerama ZELENE DOLINE 80 g poltrdega sira gauda ZELENE DOLINE 40 g parmezana 60 g radiča 80 g pršuta 40 g fig 

Raca ali gos z mlinci in pomarančno omako,za martinovo ali kakšno drugo posebno priložnost,HOFER Slovenija,31.5.2017,21352,martinovo,pečenje,"jesen, zima",,120 minut,"1. Raca (za 2 osebi):  pomarančo in eno čebulo olupimo in ju narežemo na velike kocke. Dobro solimo in popramo ter z njimi nadevamo očiščeno in osušeno raco, ki jo zunaj natremo s soljo in poprom. Na kocke narezan korenček, peteršiljevo korenino in drugo čebulo stresemo v pekač, prelijemo z jušno osnovo ter na zelenjavo s prsmi navzdol položimo raco. Pečemo 40 minut pri 200 stopinjah, nato raco obrnemo, pekač prestavimo na najnižjo rešetko in pečemo še približno 35 minut oz. dokler raca ni pečena. Pečeno vzamemo iz pekača in jo do serviranja pustimo počivati v topli pečici.2. Gos (za 4–6 oseb): gos pripravimo na enak način kot raco, le da jo najprej obrnjeno s prsmi navzdol pečemo 1,5 ure pri 180 stopinjah. Nato jo obrnemo in pečemo še od 1,5 do 2 uri oz. dokler ni pečena.3. Pomarančna omaka:  tretjino pomaranče tanko olupimo in lupino narežemo na zelo tanke trakce, nato celo pomarančo sfilitiramo. Iz dveh pomaranč in polovice limone iztisnemo sok. V ponvi karameliziramo sladkor. Zalijemo ga s kisom ter pomarančnim in limoninim sokom. Prilijemo še sok, ki je nastal pri pečenju race ali gosi, vendar mu prej odstranimo odvečno maščobo. Vse skupaj kuhamo še minuto ali dve, nato dodamo narezano pomarančno lupino in kuhamo še 5 minut. V kozici razpustimo maslo, ki mu primešamo moko in z njim zgostimo omako. Pred koncem jo obogatimo še z brusničnim džemom in s prej pripravljenimi koščki pomaranče ter jo po potrebi dosolimo in popramo. K raci ali gosi postrežemo mlince, ki jih pripravimo po navodilih na embalaži.",Za raco ali gos: 1 raca ali gos 2 srednje veliki čebuli 1 bio pomaranča 1 korenček 1 peteršiljeva korenina 400 ml jušne osnove iz kokošje jušne kocke LE GUSTO Za pomarančno omako: 3 bio pomaranče pol limone 2 žlici sladkorja DIAMANT 4 žlice vinskega kisa LOMEE 1 čajna žlička masla MILFINA 1 čajna žlička gladke moke KORNGOLD 2 žlici brusničnega džema GRANDESSA sol beli poper LE GUSTO Za prilogo: mlinci LANDVOGT sol 

Telečja pečenka z domačimi cmoki,odlična pečenka za nedeljsko kosilo,HOFER Slovenija,31.5.2017,21353,,pečenje,,glavne jedi,150 minut,"1. Telečja pečenka:  telečjo rulado pri srednji temperaturi z vseh strani popečemo na oljčnem olju. Čebulo, korenček in zeleno olupimo in narežemo na kocke. Meso vzamemo iz posode in na preostali maščobi podušimo zelenjavo. Dodamo paradižnikovo mezgo, na kratko prepražimo in zalijemo z rdečim vinom. Meso položimo na zelenjavo, prilijemo jušno osnovo, zavremo, nato pa vse skupaj pri srednji temperaturi pokrito dušimo 1,5 do 2 uri. Po eni uri dušenja dodamo brinove jagode, strok česna, vejico rožmarina ter ščepec čilija. Ko je pečenka gotova, jo vzamemo iz posode in precedimo omako. Omako popramo po okusu in jo po potrebi dosolimo.2. Domači cmoki:  neolupljen krompir skuhamo v kropu. Nato ga olupimo, pretlačimo in dobro solimo. V skoraj hladen krompir umešamo toliko moke, da nastane zelo suho, drobljivo testo. Z rokami oblikujemo cmoke, ki jih nato v slanem kropu kuhamo približno 20 minut. V ponvi razpustimo maslo in na njem prepražimo drobtine. Dodamo jim drobnjak in jih potresemo po cmokih.",1 kg telečje rulade 2 žlici bio oljčnega olja KLOSTER TOPLOU 1 čebula 1 korenček 100 g gomolja zelene 1 žlica paradižnikove mezge CARLONI 0.2 l rdečega vina 0.5 l jušne osnove iz goveje jušne kocke LE GUSTO 1 čajna žlička brinovih jagod 1 strok česna 1 vejica rožmarina mleti čili LE GUSTO (po želji) poper LE GUSTO sol Za domače cmoke: 400 g mokastega krompirja 300−500 g ostre moke KORNGOLD 3 žlice masla MILFINA 4 žlice krušnih drobtin KORNGOLD 1 žlica drobnjaka LE GUSTO sol 

Tatarski biftek v krompirjevem gnezdecu z avokadovo kremo,dobrota za posebne priložnosti,HOFER Slovenija,1.6.2017,21354,"božič, novo leto",,,hladne predjedi,60 minut,"1. Avokado olupimo in odstranimo koščico. Dodamo sok limete ter solimo in popramo. Pretlačimo s paličnim mešalnikom. Primešamo jogurt ter na drobne kocke narezan paradižnik, ki smo mu prej odstranili semena.2. Krompir olupimo in narežemo na zelo tanke trakce. Razporedimo jih po kovinskem cedilu, nanje položimo še drugo kovinsko cedilo in pritisnemo, da nastane gnezdece. Nato krompir z obema cediloma vred ocvremo v vročem olju in ga na koncu posolimo. Cedilo naj ne bo prefino, da se krompir ne bi zlepil na površino.3. Tatarski biftek nadevamo v krompirjevo gnezdece ter postrežemo s kaprami in narezano čebulo ter okrasimo z avokadovo omako.",200 g krompirja repično olje OSANA za peko 1 avokado 1 limeta 2 žlici polnomastnega jogurta MILFINA polovica paradižnika 300 g gurmanskega tatarskega biftka KOŠAKI 1 bela čebula 8–12 kaper GOURMET sol PIRANSKE SOLINE poper LE GUSTO 

Paradižnikov burger z avokadovo kremo,burger nekoliko drugače - a nič manj okusen.,HOFER Slovenija,1.6.2017,21355,"piknik, rojstni dan otroka",pečenje,,,30 minut,"1. Paradižnike razpolovimo po dolžini in jim odstranimo semena, solato operemo. Avokadu odstranimo koščico, ga narežemo na kocke in pretlačimo ter mu primešamo grški jogurt. Kremi dodamo še sok limete in solimo.2. Mleto goveje meso solimo in popramo ter oblikujemo v polpetke. Na vročem olju jih pečemo 2 minuti na vsaki strani. Popečemo tudi polovice paradižnika, nato pa jih obložimo z listom solate, avokadovo kremo in govejo polpetko ter pokrijemo še z drugo polovico paradižnika.",4 veliki paradižniki 4 listi solate 1 avokado 2 žlici grškega jogurta LYTTOS pol limete 500 g bio govejega mletega mesa NATUR AKTIV oljčno olje CASTELLO malo soli PIRANSKE SOLINE malo popra LE GUSTO 

Steak z istrskimi fuži na kremni omaki iz tartufov in šampinjonov,steak s pridihom Istre,HOFER Slovenija,1.6.2017,21356,,pečenje,,glavne jedi,60 minut,"1. Istrske fuže skuhamo v slanem kropu. V ponvi segrejemo 1 žlico masla in malo oljčnega olja z okusom črnih tartufov ter na njem rahlo popečemo odcejene fuže.Steake odtalimo ter jih solimo in popramo. Veliko, težko ponev močno segrejemo ter v njej na olju popečemo steake (približno 5 minut na vsaki strani). Pečene pokapamo z malo oljčnega olja z okusom črnih tartufov, jih zavijemo v alufolijo in jih pustimo počivati na toplem 5 minut.2. Čebulo drobno nasekljamo, očiščene šampinjone pa narežemo na rezine. V ponvi razpustimo 1 žlico masla in v njem najprej rahlo prepražimo čebulo, nato pa še šampinjone. Vse skupaj zalijemo z belim vinom, nato prilijemo jušno osnovo, zavremo in kuhamo toliko časa, da ostane samo še polovica tekočine. Dodamo smetano za kuhanje ter pasto iz tartufov in šampinjonov, še enkrat zavremo ter po okusu solimo in popramo.",400 g istrskih fužev ZIGANTE čajno maslo MILFINA 4 zamrznjeni goveji steaki sončnično olje OSANA oljčno olje z okusom črnih tartufov ZIGANTE 1 čebula 200 g šampinjonov 125 ml belega vina 125 ml jušne osnove iz goveje jušne kocke LE GUSTO 125 ml smetane za kuhanje MILFINA 2 čajni žlički paste iz tartufov in šampinjonov ZIGANTE sol poper LE GUSTO 

Juha s kislim zeljem in nürnberškimi pečenicami,super kosilo za zimske dni,HOFER Slovenija,2.6.2017,21357,"pust, novo leto",kuhanje,zima,,60 minut,"Čebuli in korenje olupimo in narežemo na kocke. V velikem loncu razpustimo maslo in v njem na hitro prepražimo čebuli in korenje. Kislo zelje stresemo v cedilo, ga speremo in še malce nasekljamo. Polovico ga damo v lonec, zalijemo z jušno osnovo, zavremo in kuhamo še 30 minut. Ko je juha kuhana, jo dobro pretlačimo s paličnim mešalnikom. Preostalo kislo zelje in na kocke narezano pečeno slanino prepražimo v ponvi in stresemo v prej pripravljeno juho. Še enkrat jo povremo, primešamo sladko smetano ter solimo in popramo. Pečenice razpolovimo in jih nabodemo na nabodala skupaj s papriko, narezano na trakce. Nabodala v vročem olju pečemo približno 3 minute na vsaki strani in ponudimo z juho.",2 čebuli 200 g korenja 2 žlici čajnega masla MILFINA 500 g kislega zelja GARTENKRONE 1 l jušne osnove iz brezmesne jušne kocke LE GUSTO 100 g pečene slanine (narezane na kocke) 250 ml sladke smetane OMIRA 12 nürnberških pečenic 4 lesena nabodala 1 rdeča paprika 1 žlica sončničnega olja OSANA sol PIRANSKE SOLINE poper LE GUSTO 

Počasi pečene krače divjega prašiča z njoki,božansko kosilo,HOFER Slovenija,2.6.2017,21358,,pečenje,,glavne jedi,240 minut,"Krače: soljene in poprane krače na olju z vseh strani dobro popečemo. Popečene postavimo v pečico na rešetko in jih pri 80 stopinjah počasi pečemo približno 4 ure. Pod rešetko postavimo posodo, v katero bo odtekal mesni sok. Po 3 urah v velikem loncu na olju prepražimo očiščeno in na približno 1 cm velike kocke narezano korenje, zeleno, por in čebulo. Dodamo in na hitro prepražimo še mezgo, nato vse skupaj najprej zalijemo z vinom, nato pa z jušno osnovo in mesnim sokom, ki se je med peko krač nabral v posodi pod rešetko. Primešamo še brinove jagode in lovorjeva lista in počasi kuhamo. Čez približno 1 uro krače vzamemo iz pečice, jih položimo na zelenjavo in vse skupaj kuhamo še 30 minut. Nato krače vzamemo iz posode in jih postavimo na toplo. Omako precedimo skozi fino cedilo, jo še enkrat na hitro prevremo ter obogatimo z brusničnim džemom in sladko smetano.Njoki: skuhamo jih po navodilih na embalaži. V ponvi razpustimo maslo ter na njem na hitro prepražimo dobro odcejene njoke in sesekljan peteršilj. Preden jih postrežemo, jih po potrebi dosolimo.","Za krače divjega prašiča: 1 kg krač divjega prašiča s kostjo znamke ALPIKA sončnično olje OSANA 100 g korenja 100 g gomolja zelene 50 g pora 2 čebuli 2 žlici paradižnikove mezge CARLONI 125 ml rdečega vina 250 ml goveje jušne osnove iz jušne kocke LE GUSTO 7 brinovih jagod 2 lovorjeva lista LE GUSTO 3 žlice brusničnega džema GRANDESSA 125 ml sladke smetane OMIRA sol poper LE GUSTO Za njoke: 400 g njokov FARMER""S GOLD 20 g čajnega masla MILFINA 1 žlica sesekljanega peteršilja sol "

Tropski smoothie,tekoče tropsko sadje,HOFER Slovenija,3.6.2017,21359,rojstni dan otroka,,,napitki,15 minut,"V mešalniku zmešamo pomarančni sok, malo limoninega soka ter mango in kivi, ki smo ju prej olupili in narezali na kocke. Uporabimo lahko tudi palični mešalnik. Smoothie prelijemo v kozarec, ki ga okrasimo z rezinami kivija in manga.",sok 2 pomaranč 100 g kivija pol manga malo limoninega soka 

Vanilijevo-kavni frape,ledena kava je vedno prava izbira,HOFER Slovenija,3.6.2017,21360,,,poletje,napitki,5 minut,"Sladoled, kavo in sladko smetano dobro zmešamo v mešalniku. Frape postrežemo v kozarcu za koktajl in ga okrasimo s stepeno smetano.",2 kepici vanilijevega sladoleda GRANDESSA 2 skodelici kuhane in ohlajene kave 100 ml sladke smetane MILFINA malo stepene sladke smetane MILFINA (za dekoracijo) 

Jagodni sorbet z baziliko,idealna sladica za vroče dni,HOFER Slovenija,4.6.2017,21361,"piknik, rojstni dan otroka",zamrzovanje,,napitki,240 minut,"Jagode, limonin sok in sladkor pretlačimo s paličnim mešalnikom. Jagodno mešanico damo v kovinsko posodo in postavimo v zamrzovalnik. Vsakih 10 minut jo premešamo z vilicami, da ne bi nastali veliki ledeni kristali. Postopek ponovimo tolikokrat, dokler ne dobimo sorbeta. Tik preden ima mešanica želeno gostoto, umešamo drobno sesekljano baziliko in postrežemo. Če želimo pripraviti alkoholno različico sorbeta, sočasno z baziliko umešamo še 16 cl vodke, v kozarec pa lahko po želji prilijemo še malo penine, vina ali gazirane vode.Namig:Iz brezalkoholnega sorbeta lahko hitro pričaramo sladoled za otroke. Tik preden sorbet zmrzne, z njim napolnimo modelčke za sladoledne lučke ali jogurtove lončke, na sredino zapičimo leseno palčko ter postavimo v zamrzovalnik. Pri pripravi izpustimo baziliko.",20 svežih jagod 8 cl sveže iztisnjenega limoninega soka 8 čajnih žličk sladkorja v prahu DIAMANT malo bazilike 

Pita z rabarbaro in jagodami,odlična sladica pozne pomladi z osvežujoče kiselkasto rabarbaro in dišečimi jagodami,majniska,5.6.2017,21362,,pečenje,"pomlad, poletje",sladice,90 minut,"1. Moko, maslo, sladkor, vanilin sladkor in jajce na hitro pregnetemo v krhko testo. Oblikujemo ga v kepo, postavimo v hladilnik in pustimo počivati na hladnem vsaj pol ure.2. Medtem očistimo in olupimo rabarbaro ter jo razrežemo na 2 - 3 cm dolge kose. Jagode očistimo in samo prepolovimo.3. Pečico vključimo in nastavimo na 180 stopinj. Testo vzamemo iz hladilnika, damo v model za pite in ga s prsti rahlo pritiskamo ob dno in obod pekača, dokler ni enakomerno razporejeno do vrha oboda. Nato testo obtežimo s kroglicami za peko, če jih nimamo, pa lahko tudi s suhim fižolom ali rižem. Pekač za 15 do 20 minut potisnemo v ogreto pečico.4. Pripravimo maslene drobtine. V skledi zmešamo moko, cimet, sladkor in koščke masla. Mešanico toliko časa drobimo s konicami prstov, da nastane drobtinam podobna zmes.5. Pekač vzamemo iz pečice in obložimo z nadevom. Najprej nadevamo na testo koščke rabarbare in nato jagode. Polijemo z malo tekočine (npr. s cedevito ali pomarančnim sokom) in potresemo z vanilin sladkorjem. Če imamo manj sladke jagode, lahko dodamo še žlico navadnega sladkorja. Po vrhu pite potresemo maslene drobtine. Pekač postavimo nazaj v ogreto pečico in pečemo, dokler se drobtine ne obarvajo zlato rjavo.","Testo: 250 g moke 150 g masla 70 g sladkorja 1 zavitek vanilin sladkorja 1 jajce Nadev: 500 g rabarbare 250 g jagod 1 zavitek vanilin sladkorja 1 žlica sladkorja (po potrebi) 0,5 dl Cedevite ali poljubnega sadnega soka Drobtine: 75 g moke 75 g sladkorja 75 g masla malo cimeta "

"Zelena solata z lubenico, feto in olivami",poletna osvežitev za kosilo,HOFER Slovenija,13.6.2017,21363,,,"pomlad, poletje","solate, glavne jedi",30 minut,"1. En konec lubenice rahlo odrežemo, da bo lahko lubenica stala na mizi brez dodatne podpore. Pazimo, da ne zarežemo v sadno meso. Na drugem koncu lubenice odrežemo večji del, da dobimo obliko bovle. Rez je lahko raven ali cikcakast. Lubenico dobro izdolbemo s pripomočkom za dolbenje melone, da dobimo lepe kroglice, ki jih bomo dali v solato. Če tega pripomočka nimamo, si pomagamo s čajno žličko. Manj lepih kroglic in ostalih koščkov izdolbene lubenice ne zavržemo, ampak jih uporabimo pri pripravi druge jedi, napitka ali sorbeta. Notranjost izdolbene lubenice osušimo s papirnato brisačo.2. Ledenko narežemo na manjše koščke, feto na kocke, pol šopka mete pa sesekljamo. V posodi zmešamo kroglice lubenice, olive, narezano ledenko, feto in sesekljano meto. Začinimo s soljo, poprom, limoninim sokom in oljčnim oljem. Solato preložimo v izdolbeno lubenico ter jo okrasimo s preostalimi lističi mete in orehovimi jedrci.","1 lubenica (cca. 2,5 kg) pol glave solate ledenke 200 g lahkega grškega ovčjega sira feta LYTTOS 1 šopek mete 100 g temnih grških oliv LYTTOS sok ene limone 5 žlic oljčnega olja CASTELLO 50 g orehovih jedrc sol PIRANSKE SOLINE poper LE GUSTO "

Losos na žaru s čatnijem iz pora in melone,odlično poletno kosilo,HOFER Slovenija,14.6.2017,21364,,žar,"pomlad, poletje",glavne jedi,30 minut,"1. Za čatni melonino meso narežemo na manjše kocke. Na manjše kocke narežemo tudi por, papriko in olupljeno banano. Tako pripravljeno sadje in zelenjavo začinimo s karijem in na hitro prepražimo v ponvi, v kateri smo segreli malo olja. Zalijemo z jabolčnim sokom ter po okusu začinimo s soljo, sladkorjem in kisom.2. Čili in koriander sesekljamo, umešamo v čatni, vse skupaj pokuhamo, nato pa odstavimo in ohladimo.3. Fileje lososa solimo, popramo in premažemo z oljem. V ponvi ali aluminijasti posodi jih na vsaki strani pečemo 3–4 minute. Ko so gotovi, jih postrežemo s pripravljenim čatnijem. Zraven ponudimo listnato solato.",pol melone (sorto izberemo po želji) 100 g pora 1 rdeča paprika 1 banana 1 žlica karija LE GUSTO 5 žlic ekstra deviškega oljčnega olja CASTELLO 150 ml jabolčnega soka PURE FRUITS 4 žlice sladkorja DIAMANT 4 žlice italijanskega balzamičnega kisa CASTELLO (npr. Aceto Balsamico di Modena I.G.P.) pol čilija svež koriander 500 g filejev lososa ALMARE SEAFOOD sol PIRANSKE SOLINE poper LE GUSTO 

Jogurtov mousse z melono,Idealna sladica za vroče dni,HOFER Slovenija,15.6.2017,21365,"rojstni dan otroka, piknik",,"pomlad, poletje",sladice,45 minut,"1. Meloni razpolovimo, odstranimo semena in ju izdolbemo s pripomočkom za dolbenje melon. Če ga nimamo, si pomagamo s čajno žličko. Nekaj lepih kroglic melone damo na stran za dekoracijo, ostale pa pretlačimo s paličnim mešalnikom. Lističe želatine namočimo v hladni vodi.2. V loncu zavremo melonin pire, sladkor in vanilijev sladkor. Zgostimo z jedilnim škrobom, na kratko pokuhamo pri nizki temperaturi, umešamo ožeto želatino in odstavimo. V ohlajen sadni žele rahlo umešamo jogurt. Preden se jogurtova krema strdi, umešamo še stepeno sladko smetano. Mousse predevamo v kozarce in ga za nekaj ur postavimo v hladilnik. Preden postrežemo, ga okrasimo s kroglicami melone, ki smo jih prej dali na stran, in lističi mete.",2 manjši meloni (sorto izberemo po želji) 4 lističi želatine BELLA 100 g sladkorja DIAMANT 1 zavoj vaniljevega sladkorja BELLA 1 čajna žlička jedilnega škroba 150 g bio jogurta NATUR AKTIV 1 lonček sladke smetane MILFINA sveža meta 

Korenčkova in bučna marmelada,"malo drugačna marmelada, ki vam bo zagotovo všeč",HOFER Slovenija,16.6.2017,21366,,vlaganje,,,45 minut,"Olupljeno bučo in korenje narežemo na kocke, olupljen ingver pa na tanke lističe. Bučo, korenje, ingver in malo vode v pokriti kozici kuhamo približno 10 minut. Ko se sestavine zmehčajo, jih pretlačimo s paličnim mešalnikom. Dodamo iztisnjen limonin in pomarančni sok, želirni sladkor in sredico vanilijevega stroka. Premešamo in 5 minut nepokrito kuhamo pri nizki temperaturi. Marmelado prelijemo v pripravljena kozarca, ju dobro zapremo, obrnemo na glavo in pustimo, da se marmelada ohladi.",Za cca. 2 velika kozarca za vlaganje: 500 g muškatne buče 500 g korenja 50 g ingverja malo vode 2 limoni 1 pomaranča 500 g želirnega sladkorja (2 : 1) 1 vanilijev strok 

Vložene hruške z ingverjem,hruške z ingverjem,HOFER Slovenija,19.6.2017,21367,,vlaganje,,,30 minut,"Olupljene hruške razpolovimo in jim odstranimo peščišče, olupljen ingver pa narežemo na lističe. V loncu zmešamo sladkor, limonin sok, nastrgano limonino lupinico, kis, ingver in vodo. Limonin timijan operemo, z njega otresemo vodo in lističe drobno sesekljamo. Timijan in hruške damo v pripravljeno limonino vodo in približno 5 minut kuhamo pri nizki temperaturi. Pazimo, da hrušk ne razkuhamo, saj morajo ostati čvrste na ugriz. Lonec odstavimo, iz prevretka vzamemo hruške in oboje pustimo, da se ohladi. Hruške damo nazaj v ohlajeni prevretek in jih v njem mariniramo čez noč. Naslednji dan vložene hruške prelijemo v čiste kozarce za vlaganje.",4 trde hruške kos ingverja 2 žlici sladkorja DIAMANT pol bio limone 20 ml jabolčnega kisa LOMEE 500 ml vode limonin timijan 

Domača dimljena sol,okusno dimljeno sol si lahko pripravimo sami,HOFER Slovenija,18.6.2017,21368,,vlaganje,,,60 minut,"Sekance približno 1 uro namakamo v vodi. V okroglem žaru na levi strani pripravimo majhno gnezdo z žerjavico (najbolje, da to storimo po peki na žaru, ko je ostalo še nekaj žerjavice). Nanj položimo sekance, da začne nastajati dim. Dno aluminijaste posode prekrijemo s plastjo morske soli in jo položimo na desno stran rešetke (indirektni način peke), žar pokrijemo s pokrovom, zgornji zračnik pa zapremo skoraj do konca. Sol dimimo najmanj 5 minut. Za močnejši okus po dimu pustimo sol v pokritem žaru dlje časa.",100 g morske soli aromatični sekanci za žar 

Domači poletni kečap,paradižnikova dobrota,HOFER Slovenija,19.6.2017,21369,,vlaganje,,,120 minut,"Paradižnike narežemo na majhne kocke. V loncu zavremo kis, sladkor, sol, cimet, lovorjeva lista in nageljnovo žbico. Dodamo narezane paradižnike in paradižnikovo mezgo ter vse skupaj pri nizki temperaturi kuhamo približno 1 uro. Ko del tekočine povre in se masa zgosti, odstranimo lovorjeva lista in nageljnovo žbico, paradižnikovo maso pa dobro pretlačimo. Jedilni škrob zmešamo z malo vode, ga dodamo h kečapu in še enkrat zavremo. Kečap precedimo skozi fino cedilo in pustimo, da se ohladi.",500 g zrelih rdečih paradižnikov 70 ml jabolčnega kisa LOMEE 2 žlici rjavega sladkorja HAPPY HARVEST sol PIRANSKE SOLINE ščepec cimeta BELLA 2 lovorjeva lista LE GUSTO 1 nageljnova žbica 1 žlica paradižnikove mezge CARLONI 1 žlica jedilnega škroba malo vode 

Jagodna marmelada s sivko,zanimiva različica navadne jagodne marmelade,majniska,17.6.2017,21370,,"vlaganje, kuhanje","zima, jesen",namazi,60 minut,"1. Jagode očistimo in speremo pod vodo. Narezane na polovice stresemo v široko posodo skupaj s sladkorjem in citronko, dobro premešamo in pristavimo na zmerno temperaturo. Ko se jagode zmehčajo in spustijo sok, jih pretlačimo z vilicami ali zmešamo s paličnim mešalnikom, odvisno od tega, kako velike koščke sadja želimo v marmeladi.2. Zavremo, zmanjšamo temperaturo in dodamo sivko ter lističa želatine, ki smo ju prej namakali v mrzli vodi. Kuhamo še nekaj minut, dokler želirni preizkus ne uspe, tj. malo marmelade kanemo na hladen krožnik in če se strdi, je marmelada gotova.3. Marmelado shranimo v čiste kozarce, ki smo jih prej v pečici vsaj 10 minut ogrevali na 80 stopinj.",1 kg jagod 350 g sladkorja 1 vrečka vanilinega sladkorja 1 žlička citronke 2 žlici osmukane sivke 2 lističa želatine 

Testenine z žajbljem in parmezanom,"hitro, enostavno in izjemno dobro",Urko_,20.6.2017,21371,,kuhanje,,"tople predjedi, glavne jedi",15 minut,"1. Testenine damo kuhat v slan krop in jih kuhamo kakšno minuto manj, kot je predvideno. Preden odlijemo vodo, je nekaj shranimo za zalivanje kasneje.2. Med kuhanjem testenin pripravimo omako. Žajbelj narežemo na večje kose in jih prepražimo na maslu. Dodamo grobo mlet poper in pražimo, da dobi maslo rjavkasto barvo.3. Testenine takoj, ko smo odlili vodo, vržemo na vroče maslo z žajbljem in zalijemo z nekaj vode, v kateri so se kuhale testenine. Pokuhamo kakšno minuto, da voda večinoma izpari in dodamo nariban parmezan. Zmešamo in po potrebi dodamo še malenkost vode, da dobimo lepo kremasto omako.",200 g testenin 50 g masla poper sol pest žajblja parmezan 

Mojčini figovi piškoti,enostavni kvašeni piškotki s poletnim pridihom,Vrtejbenka,23.6.2017,21372,piknik,pečenje,"poletje, jesen",sladice,60 minut,"1. Moko presejemo, v sredino vlijemo 0,5 dl toplega mleka, dodamo sladkor in kvas. Počakamo, da se kvas malo aktivira in dodamo rumenjaka, naribano limonino lupinico ter  počasi dolivamo preostalo mleko. Testo dobro pregnetemo in pustimo počivati, da naraste.Vzhajano testo še malo pregnetemo in ga razvaljamo na tanko. S pomočjo kozarca izrežemo kroge. Ostanek testa spet zgnetemo, razvaljamo in zrežemo kroge.2. Vsak krog dobro pokapamo s stopljenim maslom, potresemo z rjavim sladkorjem in ščepcem pimenta. V sredino dobro potisnemo rezino fige. Po želji še figo pokapamo z maslom in sladkorjem. Še bolj okusni pridejo, če uporabljamo kuhano (ghee) maslo, ker nam da tisti dodaten oreščkast okus.3. Piškote damo takoj v toplo pečico in jih pečemo na 180 stopinjah približno 15 do 20 minut. Vmes malo preverimo, kako se pečejo.",50 dag moke 1 suh kvas 3 dl mleka 2 rumenjaka 1 žlica sladkorja 1 limona maslo rjav sladkor piment fige 

Limonina torta,"osvežilna torta, ki spominja na limonin sladoled",Vsesadkosneda,27.6.2017,21373,,pečenje,"zima, pomlad, poletje, jesen",sladice,90 minut,"1. Rumenjake penasto vmešamo s sladkorjem, dodamo kakav, moko in pecilni prašek ter na rahlo premešamo. Na koncu dodamo še sneg iz beljakov in previdno premešamo. Testo zlijemo v pomaščen in pomokan pekač ter ga pečemo na 180 stopinjah 15 minut.2. Za kremo stepemo sladko smetano z želatino fix. V mascarpone naribamo limonino lupinico in iztisnemo sok obeh limon. Mascarpone dobro premešamo in po občutku dodamo sladkor. V kremo dodamo stepeno sladko smetano.3. Ko se biskvit ohladi, ga prerežemo na 3 dele. Spodnji oblat položimo v obod, nanj namažemo tretjino kreme, postopek ponovimo še enkrat. Na vrh položimo še zadnji oblat. Torto damo v hladilnik.4. Po nekaj urah torto vzamemo iz hladilnika in jo premažemo s preostankom kreme. Poljubno jo okrasimo.","Biskvit: 6 jajc 140 g sladkorja 110 g ostre moke 30 g kakava polovica vrečke pecilnega praška Krema: 250 g mascarponeja 0,5 l smetane za stepanje 2 bio limoni 4 žlice sladkorja želatina fix "

Domači Ferrero Rocher,zelo enostaven recept s samo štirimi sestavinami za doma narejen Ferrero Rocher,Simple_Delicious,28.6.2017,21374,"martinovo, božič, pust, valentinovo, velika noč, novo leto, piknik, rojstni dan otroka, miklavževo",,,sladice,180 minut,"1. Nad vročo vodo stopimo čokolado in primešamo sladko smetano. Primešamo še Nutello in postavimo v hladilnik za dve do tri ure. Medtem zdrobimo lešnike, nekaj jih prihranimo celih za v sredino kroglic. Ko je zmes ohlajena, z rokami oblikujemo kroglice in jih povaljamo v zdrobljenih lešnikih. Hranimo jih v hladilniku, da se ne zmehčajo.",200 g jedilne čokolade 120 ml sladke smetane 300 g Nutelle 200 g praženih lešnikov 

